method,mean_r2,std_r2,n_datasets,mean_rmse,rank
RW-MLP,0.5912,0.3163,39,8085.7198,1
MLP,0.5862,0.3189,39,8305.7536,2
RW-FT-Transformer,0.579,0.3121,39,8010.7048,3
FT-Transformer,0.5774,0.3102,39,7962.9788,4
RW-ResNet,0.5772,0.3254,39,8518.5763,5
CatBoost,0.5762,0.3098,39,8005.7413,6
RandomForest,0.5749,0.3177,39,8359.1252,7
RTDL-ResNet,0.573,0.3281,39,8633.1351,8
LightGBM,0.5613,0.3229,39,8082.1143,9
RW-NODE,0.5469,0.311,39,8576.1859,10
XGBoost,0.5409,0.3707,39,8222.0972,11
NODE,0.5348,0.3202,39,8489.4976,12
TabNet,0.529,0.3174,39,9792.1893,13
RW-TabNet,0.5147,0.3148,39,9898.2651,14
